time,price,quantity,direction
2026-07-13T18:53:53.662723+00:00,94.28,3,2
2026-07-13T18:53:53.663650+00:00,94.28,52,2
2026-07-13T18:53:53.665280+00:00,94.28,6,2
2026-07-13T18:53:56.162341+00:00,94.28,9,1
2026-07-13T18:53:59.414847+00:00,94.27,6,2
2026-07-13T18:53:59.420754+00:00,94.27,44,2
2026-07-13T18:54:02.531068+00:00,94.29,1,1
2026-07-13T18:54:03.979726+00:00,94.26,82,2
2026-07-13T18:54:03.980413+00:00,94.26,52,2
2026-07-13T18:54:03.983078+00:00,94.25,20,2
2026-07-13T18:54:03.984186+00:00,94.25,19,2
2026-07-13T18:54:04.809683+00:00,94.26,1,1
2026-07-13T18:54:14.400945+00:00,94.25,1,2
2026-07-13T18:54:15.074101+00:00,94.27,32,1
2026-07-13T18:54:15.079376+00:00,94.27,15,1
2026-07-13T18:54:16.543746+00:00,94.27,2,1
2026-07-13T18:54:16.548851+00:00,94.27,8,1
2026-07-13T18:54:21.201844+00:00,94.25,32,2
2026-07-13T18:54:21.202436+00:00,94.25,70,2
2026-07-13T18:54:24.621601+00:00,94.25,10,1
2026-07-13T18:54:36.029936+00:00,94.25,21,1
2026-07-13T18:54:36.089718+00:00,94.25,74,1
2026-07-13T18:54:36.095631+00:00,94.25,74,1
2026-07-13T18:54:36.096074+00:00,94.25,19,1
2026-07-13T18:54:36.096584+00:00,94.25,15,1
2026-07-13T18:54:41.209148+00:00,94.31,5,1
2026-07-13T18:54:45.103726+00:00,94.32,31,1
2026-07-13T18:54:45.104167+00:00,94.32,18,1
2026-07-13T18:55:13.020669+00:00,94.33,2,1
2026-07-13T18:55:26.937740+00:00,94.31,11,2
2026-07-13T18:55:27.169563+00:00,94.31,10,2
2026-07-13T18:55:30.732955+00:00,94.32,7,1
2026-07-13T18:55:32.220743+00:00,94.31,96,2
2026-07-13T18:55:32.224992+00:00,94.29,15,2
2026-07-13T18:55:32.225750+00:00,94.29,180,2
2026-07-13T18:55:32.226386+00:00,94.28,14,2
2026-07-13T18:55:32.226972+00:00,94.28,660,2
2026-07-13T18:55:32.227358+00:00,94.28,35,2
2026-07-13T18:55:32.997180+00:00,94.3,5,1
2026-07-13T18:55:33.165599+00:00,94.28,1,2
2026-07-13T18:55:45.847528+00:00,94.28,149,2
2026-07-13T18:55:45.854663+00:00,94.28,32,2
2026-07-13T18:55:45.855705+00:00,94.28,52,2
2026-07-13T18:55:45.857369+00:00,94.28,136,2
2026-07-13T18:55:45.857804+00:00,94.28,37,2
2026-07-13T18:55:45.858646+00:00,94.27,594,2
2026-07-13T18:55:48.173874+00:00,94.3,3,1
2026-07-13T18:55:57.302699+00:00,94.28,9,2
2026-07-13T18:55:57.303227+00:00,94.28,150,2
2026-07-13T18:55:57.308721+00:00,94.28,32,2
2026-07-13T18:55:57.309211+00:00,94.28,33,2
2026-07-13T18:55:57.309676+00:00,94.28,70,2
2026-07-13T18:55:57.310343+00:00,94.27,660,2
2026-07-13T18:55:57.311092+00:00,94.27,52,2
2026-07-13T18:55:57.311985+00:00,94.27,294,2
2026-07-13T18:55:57.666834+00:00,94.29,2,1
2026-07-13T18:56:00.359784+00:00,94.27,5,1
2026-07-13T18:56:02.944212+00:00,94.26,23,2
2026-07-13T18:56:02.948808+00:00,94.26,100,2
2026-07-13T18:56:02.949329+00:00,94.25,212,2
2026-07-13T18:56:02.949821+00:00,94.25,29,2
2026-07-13T18:56:02.950231+00:00,94.25,52,2
2026-07-13T18:56:02.950665+00:00,94.25,134,2
2026-07-13T18:56:02.951063+00:00,94.25,212,2
2026-07-13T18:56:02.951558+00:00,94.25,212,2
2026-07-13T18:56:02.951894+00:00,94.25,32,2
2026-07-13T18:56:02.952210+00:00,94.25,84,2
