score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,40.0,25.0,94,6,-300.0370397472126,-298.6469747645818,-317.2940345781365,56.6131008124227,-91.35081211079353,1,5,-950.7157603883015,-10.113997450939378,-1430.5394700651884,-1385.154461197964
1.3,0.6,1.5,60.0,40.0,25.0,94,8,-334.0370397472126,-330.6469747645818,-383.2940345781365,38.6131008124227,-129.35081211079353,1,5,-1138.7157603883015,-12.113997450939378,-1430.5394700651884,-1385.154461197964
1.3,0.6,1.5,60.0,40.0,25.0,94,10,-368.0370397472126,-362.6469747645818,-449.2940345781365,20.6131008124227,-167.35081211079353,1,5,-1326.7157603883015,-14.113997450939378,-1430.5394700651884,-1385.154461197964
1.3,0.6,1.5,60.0,40.0,25.0,94,12,-402.0370397472126,-394.6469747645818,-515.2940345781365,2.613100812422701,-205.35081211079353,1,5,-1514.7157603883015,-16.11399745093938,-1430.5394700651884,-1385.154461197964
1.3,0.6,1.5,60.0,40.0,35.0,92,0,-335.97984501246026,-132.71733653753938,0.25528727502558013,56.91576815576803,-88.11621497281016,2,5,-499.64234109201607,-5.430895011869739,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,35.0,92,2,-365.97984501246026,-164.71733653753938,-65.74471272497442,38.91576815576803,-126.11621497281016,1,5,-683.6423410920161,-7.430895011869739,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,35.0,92,4,-395.97984501246026,-196.71733653753938,-131.74471272497442,20.915768155768028,-164.11621497281016,1,5,-867.6423410920161,-9.43089501186974,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,35.0,92,6,-425.97984501246026,-228.71733653753938,-197.74471272497442,2.9157681557680277,-202.11621497281016,1,5,-1051.642341092016,-11.43089501186974,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,35.0,92,8,-455.97984501246026,-260.7173365375394,-263.7447127249744,-15.084231844231972,-240.11621497281016,0,5,-1235.642341092016,-13.43089501186974,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,35.0,92,10,-485.97984501246026,-292.7173365375394,-329.7447127249744,-33.08423184423197,-278.11621497281016,0,5,-1419.642341092016,-15.43089501186974,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,35.0,92,12,-515.9798450124603,-324.7173365375394,-395.7447127249744,-51.08423184423197,-316.11621497281016,0,5,-1603.642341092016,-17.43089501186974,-1557.2128636432735,-1466.201656933736
1.3,0.6,1.5,60.0,40.0,50.0,91,0,-315.6885622036759,-119.62010397247343,317.8078461887615,42.556768483705305,-75.91155184226301,2,5,-150.85560334594516,-1.6577538829224743,-1198.4261258972028,-1198.5777724256782
1.3,0.6,1.5,60.0,40.0,50.0,91,2,-345.6885622036759,-151.62010397247343,253.80784618876154,24.556768483705305,-113.91155184226301,2,5,-332.85560334594516,-3.6577538829224743,-1198.4261258972028,-1198.5777724256782
1.3,0.6,1.5,60.0,40.0,50.0,91,4,-375.6885622036759,-183.62010397247343,189.80784618876154,6.556768483705305,-151.911551842263,2,5,-514.8556033459452,-5.657753882922474,-1198.4261258972028,-1198.5777724256782
1.3,0.6,1.5,60.0,40.0,50.0,91,6,-405.6885622036759,-215.62010397247343,125.80784618876153,-11.443231516294695,-189.911551842263,1,5,-696.8556033459452,-7.657753882922474,-1198.4261258972028,-1198.5777724256782
1.3,0.6,1.5,60.0,40.0,50.0,91,8,-435.6885622036759,-247.62010397247343,61.80784618876153,-29.443231516294695,-227.911551842263,1,5,-878.8556033459452,-9.657753882922474,-1198.4261258972028,-1198.5777724256782
1.3,0.6,1.5,60.0,40.0,50.0,91,10,-465.6885622036759,-279.62010397247343,-2.192153811238469,-47.443231516294695,-265.911551842263,0,5,-1060.8556033459452,-11.657753882922474,-1198.4261258972028,-1198.5777724256782
