share_min,market_ret5_min,start_hour,score_max,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_days,sep_pos_days,sep_no_best_day,fresh_trades,fresh_net,fresh_mean
0.45,-0.003,12,1.7,60.04180321888886,105.78214643389995,-35.42644338470136,-66.06386540079572,336.8132767776327,3,5,16,401.14691764492443,25.071682352807777,68.75,11,6,125.03678960084164,195.70929261506274,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.003,12,1.9,127.45045743964151,90.21969426577263,7.848063477355154,-117.9303860034995,476.58727124825725,4,5,28,584.1751004275269,20.863396443840248,67.85714285714286,17,10,229.34873886433957,446.0432474169954,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,12,2.2,184.2796680831595,150.7610582711123,1.0930194717002166,-124.41987622425506,528.5850964852416,4,5,36,740.2989660869583,20.563860169082176,66.66666666666666,18,9,317.5571779255593,602.1671130764269,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,12,99.0,271.4238518704907,134.66747596185962,202.6111114299618,-124.41987622425506,668.4455031669511,4,5,55,1152.7280662050082,20.95869211281833,65.45454545454545,20,12,753.7401550379548,845.4063659854896,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,13,1.7,60.04180321888886,105.78214643389995,-35.42644338470136,-66.06386540079572,336.8132767776327,3,5,16,401.14691764492443,25.071682352807777,68.75,11,6,125.03678960084164,195.70929261506274,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.003,13,1.9,127.45045743964151,157.52546628510282,-46.432770291307065,-56.90965965988841,476.58727124825725,3,5,25,658.220765021806,26.328830600872237,72.0,15,10,303.3944034586186,452.78313999194427,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,13,2.2,184.2796680831595,218.0668302904425,-53.18781429696202,-63.399149880643975,528.5850964852416,3,5,33,814.3446306812375,24.67711002064356,69.6969696969697,17,10,391.6028425198385,608.9070056513758,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,13,99.0,345.1388025460751,208.12068898983327,84.24615822852067,-63.399149880643975,668.4455031669511,4,5,48,1242.5520030507362,25.886500063557005,68.75,19,11,843.5640918836827,984.4847212096336,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,14,1.7,75.9121041289557,33.688029146630264,-35.42644338470136,-66.06386540079572,336.8132767776327,3,5,13,344.9231012677216,26.5325462513632,69.23076923076923,8,4,68.81297322363883,258.291179378596,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.003,14,1.9,143.32075834970834,85.43134899783314,-46.432770291307065,0.9213110998587126,476.58727124825725,4,5,21,659.8279194043503,31.42037711449287,76.19047619047619,13,9,305.00155784116293,550.6579292264114,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
